tool		SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/exceptions15.yml	true	true	1.927805	0.9271060620003482	121.053184	true	1.845675	0.894013275999896	114.724864
jbmc-regression/exceptions16.yml	false	false	1.945657	0.9356196349999664	116.670464	false	2.046598	0.9707674119999865	117.551104
jbmc-regression/exceptions18.yml	true	true	1.953956	0.9299536850003278	122.216448	true	1.953746	0.9322504350002419	115.666944
jbmc-regression/exceptions2.yml	false	false	1.950176	0.9259243910000805	122.458112	false	1.982598	0.9532095199992909	115.818496
jbmc-regression/exceptions3.yml	false	false	1.938654	0.9379433300000528	122.474496	false	1.978183	0.9624732970005425	122.667008
jbmc-regression/exceptions4.yml	true	true	1.922861	0.9239171949993761	115.527680	true	1.969478	0.9206831379997311	116.056064
jbmc-regression/exceptions5.yml	true	true	1.986904	0.9647839049994218	116.064256	true	2.071772	0.9758739169992623	115.712000
jbmc-regression/exceptions6.yml	false	false	1.941478	0.9425032439994538	114.475008	false	1.950596	0.9367600920013501	122.073088
jbmc-regression/exceptions7.yml	false	false	1.945921	0.9342213570007516	115.179520	false	1.9395	0.9300608499997907	114.999296
jbmc-regression/exceptions8.yml	false	false	1.881917	0.9206767599998784	115.310592	false	1.95835	0.9354631520000112	123.002880
jbmc-regression/exceptions9.yml	true	true	1.852696	0.9164160210002592	114.597888	true	1.912909	0.9230236179992062	115.863552
jbmc-regression/fcmpx_dcmpx1.yml	true	true	1.888451	0.9158151969995743	116.609024	true	1.927106	0.9141722099993785	113.405952
jbmc-regression/iarith1.yml	true	true	1.888729	0.8998289720002504	114.704384	true	1.939581	0.9109805919997598	115.367936
jbmc-regression/iarith2.yml	true	true	1.971236	0.9457627139991018	114.462720	true	1.983136	0.9219908480008598	118.558720
jbmc-regression/if_acmp1.yml	true	true	1.956234	0.929862482000317	114.446336	true	1.900453	0.9138592689996585	114.601984
jbmc-regression/if_expr1.yml	true	true	2.052658	0.9873794899995119	169.205760	true	2.112147	1.0138493119993655	171.364352
jbmc-regression/if_icmp1.yml	true	true	2.091794	0.9924770280003941	168.611840	true	2.091487	1.0139587079993362	172.658688
jbmc-regression/ifxx1.yml	true	true	1.868347	0.8910384170003454	114.511872	true	1.864715	0.9003095780008152	113.868800
jbmc-regression/instanceof1.yml	true	true	1.825543	0.8817510320004658	114.229248	true	1.843055	0.8922184660004859	116.137984
jbmc-regression/instanceof2.yml	true	true	1.871008	0.9037863599996854	114.434048	true	1.882693	0.923380330999862	113.074176
jbmc-regression/instanceof3.yml	true	true	1.904364	0.9179499550000401	114.651136	true	1.844816	0.8859265920000325	114.667520
jbmc-regression/instanceof4.yml	true	true	1.861417	0.9202734390000842	116.699136	true	1.923149	0.9229244509988348	113.754112
jbmc-regression/instanceof5.yml	true	true	1.917752	0.9056191380004748	114.319360	true	1.886428	0.9151227050006128	114.937856
jbmc-regression/instanceof6.yml	true	true	1.896641	0.9138528740004404	117.030912	true	1.900085	0.9057909200000722	115.572736
jbmc-regression/instanceof7.yml	true	true	1.863507	0.9247677499997735	114.622464	true	1.899858	0.9212705069985532	114.720768
jbmc-regression/instanceof8.yml	true	true	1.857315	0.8898735080001643	113.950720	true	1.936573	0.9068938929995056	117.444608
jbmc-regression/interface1.yml	false	false	1.910855	0.9130438480005978	114.995200	false	1.916252	0.9206113720010762	115.683328
jbmc-regression/java_append_char.yml	false	false	2.137653	1.0479887310002596	170.573824	false	2.211994	1.054928387999098	176.140288
jbmc-regression/lazyloading4.yml	true	true	1.907635	0.9291364629998498	114.192384	true	1.872156	0.8992087179994996	115.027968
jbmc-regression/list1.yml	true	true	37.227861	16.5346997380002	611.356672	true	33.149336	14.534031933999358	435.433472
jbmc-regression/long1.yml	true	true	1.908074	0.9117203209998479	114.884608	true	1.889366	0.9017828699998063	115.089408
jbmc-regression/lookupswitch1.yml	true	true	2.268036	1.060292918000414	175.177728	true	2.161707	1.0343631559990172	165.502976
jbmc-regression/multinewarray.yml	true	true	1.927859	0.9267408019995855	114.384896	true	1.902844	0.9078004460006923	114.606080
jbmc-regression/overloading1.yml	true	true	1.959628	0.9530398650003917	114.212864	true	1.949342	0.9399204310011555	114.196480
jbmc-regression/package1.yml	true	true	1.849938	0.886943990999498	114.495488	true	1.88298	0.9153960219991859	115.351552
jbmc-regression/putfield_getfield1.yml	true	true	1.96429	0.9383460999997624	114.032640	true	1.85521	0.891505268000401	116.072448
jbmc-regression/putstatic_getstatic1.yml	true	true	1.916543	0.9120578480005861	116.490240	true	1.905439	0.9022226209999644	115.200000
jbmc-regression/recursion2.yml	true	true	1.886608	0.9050628380000489	114.671616	true	1.926743	0.9165911489999417	115.515392
jbmc-regression/return1.yml	false	false	1.90669	0.9204907089997505	114.548736	false	1.881593	0.9010457880012837	115.736576
jbmc-regression/return2.yml	false	false	2.002943	0.9734180059995197	169.345024	false	2.058698	1.0029552760006482	176.427008
jbmc-regression/store_load1.yml	true	true	1.983302	0.9392404170002919	114.335744	true	1.983191	0.9451231279999774	115.580928
