tool		SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jpf-regression/ExException_true.yml	true	true	3.943996	1.983956035999654	173.531136
jpf-regression/ExGenSymExe_false.yml	false	false	3.470945	1.736935321000601	115.838976
jpf-regression/ExGenSymExe_true.yml	true	true	3.360344	1.704524861000209	118.525952
jpf-regression/ExLazy_false.yml	false	false	4.021872	2.0076608429999396	174.927872
jpf-regression/ExLazy_true.yml	true	true	3.769292	1.918671981999978	173.809664
jpf-regression/ExMIT_false.yml	false	false	3.631129	1.9135047039999336	172.503040
jpf-regression/ExMIT_true.yml	true	true	3.653097	1.882992653000656	172.834816
jpf-regression/ExSymExe10_false.yml	false	false	3.873595	1.893772194000121	174.010368
jpf-regression/ExSymExe10_true.yml	true	true	3.646909	1.8354411770005754	173.535232
jpf-regression/ExSymExe11_false.yml	false	false	3.499681	1.699313021999842	117.542912
jpf-regression/ExSymExe11_true.yml	true	true	3.87369	1.9693935989998863	173.875200
jpf-regression/ExSymExe12_false.yml	false	false	3.749784	1.928967595999893	172.843008
jpf-regression/ExSymExe12_true.yml	true	true	3.689563	1.8520244589999493	173.182976
jpf-regression/ExSymExe13_false.yml	false	false	3.722558	1.9024044869993304	173.592576
jpf-regression/ExSymExe13_true.yml	true	true	3.868942	1.9008682739995493	172.859392
jpf-regression/ExSymExe14_false.yml	false	false	3.796918	1.8735764740004015	173.817856
jpf-regression/ExSymExe14_true.yml	true	true	3.846806	1.8729110490003222	174.493696
jpf-regression/ExSymExe15_false.yml	false	false	3.725214	1.8323691100003998	172.494848
jpf-regression/ExSymExe15_true.yml	true	true	3.651453	1.8657069270002467	173.928448
jpf-regression/ExSymExe16_false.yml	false	false	3.274097	1.6839996979997522	116.752384
jpf-regression/ExSymExe16_true.yml	true	true	3.283985	1.6546614809994935	116.412416
jpf-regression/ExSymExe17_false.yml	false	false	3.40389	1.6982595549998223	114.700288
jpf-regression/ExSymExe17_true.yml	true	true	3.333531	1.6643912220006314	116.776960
jpf-regression/ExSymExe18_false.yml	false	false	3.764722	1.9112499009988824	172.154880
jpf-regression/ExSymExe18_true.yml	true	true	3.362789	1.68834208699991	115.724288
jpf-regression/ExSymExe19_false.yml	false	false	3.737012	1.8682230479989812	174.514176
jpf-regression/ExSymExe19_true.yml	true	true	3.843023	1.9242848659996525	173.592576
jpf-regression/ExSymExe1_false.yml	false	false	3.943949	1.9833843409996916	175.460352
jpf-regression/ExSymExe1_true.yml	true	true	3.390877	1.7121456089989806	116.224000
jpf-regression/ExSymExe20_false.yml	false	false	3.852391	1.9014564330009307	174.493696
jpf-regression/ExSymExe20_true.yml	true	true	3.392202	1.7070218789995124	115.195904
jpf-regression/ExSymExe21_false.yml	false	false	3.786321	1.8939364249999926	172.204032
jpf-regression/ExSymExe21_true.yml	true	true	3.254029	1.676378812000621	114.794496
jpf-regression/ExSymExe25_false.yml	false	false	3.861869	1.932852758000081	174.374912
jpf-regression/ExSymExe25_true.yml	true	true	3.486043	1.7247957090003183	115.937280
jpf-regression/ExSymExe26_false.yml	false	false	3.850542	1.8945765730004496	174.395392
jpf-regression/ExSymExe26_true.yml	true	true	3.255399	1.6498140040002909	116.334592
jpf-regression/ExSymExe27_false.yml	false	false	3.890615	1.9240828600013629	174.391296
jpf-regression/ExSymExe27_true.yml	true	true	3.407621	1.766737459000069	116.224000
jpf-regression/ExSymExe28_false.yml	false	false	3.867377	1.9436735029994452	174.985216
jpf-regression/ExSymExe28_true.yml	true	true	3.349698	1.7020514830001048	114.909184
jpf-regression/ExSymExe29_false.yml	false	false	3.928053	1.9054782080002042	177.725440
jpf-regression/ExSymExe29_true.yml	true	true	3.426636	1.7118154559993854	115.916800
jpf-regression/ExSymExe2_false.yml	false	false	3.980157	1.9383321990007971	174.510080
jpf-regression/ExSymExe2_true.yml	true	true	3.378045	1.6830268720004824	115.257344
jpf-regression/ExSymExe3_false.yml	false	false	3.877974	1.952222358999279	174.825472
jpf-regression/ExSymExe3_true.yml	true	true	3.333108	1.7123164660006296	115.970048
